,Id,Retweets#,Favorites#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,Words#,TWords#,UWords#,SlangWords#,AvgWordLength,IsCyberbullying_encode
2863,1161447122958503936,0.0,0,1,846340830126362624,2,15047,434,0.0,1826,4,0,0,1,4.0,1
2864,1161462211610644480,0.0,0,1,891219271015161856,2,796,1158,0.0,268,16,1,0,1,4.0,1
2865,1161496225146908672,0.0,0,1,900312134713823232,2,817,261,0.0,100,11,1,0,1,5.0,1
2866,1161530189521858560,0.0,0,3,889091712878075904,2,436,111,0.0,133,9,1,0,1,6.0,1
2867,1161533962239578112,0.0,0,1,818914442272534528,2,4657,100,0.0,2132,40,3,0,1,5.0,1
2869,1161903915966898176,0.0,2,0,822805586685394944,2,4495,790,0.0,169,11,0,0,1,5.0,1
2870,1161903933553610752,0.0,0,0,907173903344263168,2,720,136,0.0,6,7,2,0,1,7.0,1
2871,1161958857528229888,1.0,3,4,847609929917583360,2,1364,308,1.0,1214,31,5,0,2,6.0,1
2875,1161998275936960512,0.0,0,1,908070416341749760,2,9144,270,0.0,2756,9,1,0,1,5.0,1
2876,1162005835482050560,0.0,0,1,828344807001034752,2,266,274,0.0,466,10,1,0,1,5.0,1
2877,1162017170391535616,0.0,0,0,932265653477761024,2,7165,252,0.0,1462,7,0,0,1,6.0,1
2878,1162020941771235328,0.0,0,2,940946227839012864,2,6213,184,0.0,959,22,1,0,1,7.0,1
2879,1162073781290094592,0.0,0,0,818162354647134208,2,24085,11,0.0,33215,23,15,14,5,5.0,1
2880,1162073793285820416,0.0,0,1,887373214334283776,2,2149,192,0.0,2982,4,1,0,1,5.0,1
2882,1162100218957090816,0.0,0,0,894596131375788032,2,831,1521,0.0,300,4,1,0,0,11.0,0
2883,1162153054378102784,0.0,0,7,818179946392731648,2,48229,382,0.0,857,9,1,0,1,5.0,1
2884,1162213241977618432,6.0,25,0,895006787832881152,2,1142,329,6.0,10315,33,20,0,0,6.0,0
2885,1162307828671012864,0.0,0,0,845743450838499328,2,1743,207,0.0,440,11,1,0,1,6.0,0
2887,1162311613753503744,0.0,0,1,911932001841709056,2,41156,627,0.0,301,6,1,0,1,4.0,1
2888,1162371988939313152,0.0,1,0,928639838504521728,2,19782,710,0.0,24601,11,0,0,1,6.0,1
2889,1162371990105264128,0.0,0,0,885525400943775744,2,806,96,0.0,129,9,1,0,1,6.0,1
2891,1162379553957961728,0.0,0,0,819249673538043904,2,663,54,0.0,135,4,1,0,1,7.0,1
2892,1162387094100172800,0.0,0,1,811262829533728768,2,320,930,0.0,238,4,1,0,0,5.0,1
2893,1162390867388305408,0.0,0,1,899418404792283136,2,32933,579,0.0,3560,3,1,0,1,6.0,1
2894,1162394641876115456,0.0,0,1,882680486623141888,2,79403,682,0.0,24265,19,4,0,0,7.0,0
2895,1162402188938944512,0.0,0,0,866217491537776640,2,1612,87,0.0,757,42,3,1,4,5.0,1
2896,1162428628271022080,0.0,0,1,852827941012594688,2,7074,478,0.0,1404,6,4,0,1,4.0,1
2897,1162432400430895104,0.0,0,0,895869160634294272,2,272,52,0.0,100,5,0,0,1,5.0,1
2898,1162451278116589568,0.0,0,0,828709748677697536,2,2022,94,0.0,2175,3,1,0,1,6.0,1
2900,1162491930686701568,1.0,4,0,815591343145750528,2,1426,56,1.0,24,18,0,0,0,5.0,0
2902,1162519221923983360,0.0,0,1,870804670427672576,2,7635,83,0.0,715,3,0,0,1,5.0,1
2903,1162587119124193280,0.0,0,1,839224388402700288,2,284,59,0.0,44,4,1,0,1,4.0,1
2904,1162594703788974080,0.0,0,0,842634130554847232,2,26866,211,0.0,1783,8,1,0,1,5.0,1
2905,1162655114605338624,0.0,0,1,839493049608777728,2,2495,59,0.0,318,8,1,0,0,5.0,0
2906,1162685319726215168,0.0,0,1,848536210456883200,2,7125,220,0.0,2370,8,1,0,1,5.0,1
2907,1162685328404156416,0.0,0,1,825343976513368064,2,422,70,0.0,206,4,1,0,1,4.0,1
2908,1162704186364112896,0.0,0,0,861144536772476928,2,96519,381,0.0,18545,27,0,0,2,5.0,1
2909,1162704193804804096,0.0,0,0,901887356361474048,2,22691,154,0.0,10414,6,0,0,1,6.0,1
2910,1162708395289403392,4.0,48,0,850039648399351808,2,79265,493,4.0,35392,6,6,6,1,8.0,1
2911,1162726825124085760,0.0,0,2,916787137483366400,2,6402,1443,0.0,1131,5,1,0,1,6.0,1
2912,1162726829414846464,0.0,0,1,880146739675770880,2,4453,1295,0.0,3671,6,1,0,1,5.0,1
2914,1162738150718021632,0.0,0,0,832298989433257984,2,8687,718,0.0,252,10,1,0,2,7.0,0
2915,1162738152592818176,0.0,0,1,810892358321664000,2,7092,311,0.0,5011,6,1,0,1,5.0,1
2916,1162749488664076288,0.0,0,1,928013133486153728,2,23918,523,0.0,33456,36,4,0,1,6.0,1
2917,1162764583049863168,0.0,0,0,937169703298093056,2,1848,184,0.0,826,9,2,0,1,5.0,0
2918,1162806105652846592,0.0,0,0,923687861219708928,2,19344,37,0.0,1619,8,0,0,1,5.0,1
2919,1162821210708860928,0.0,0,1,902495056606744576,2,1630,244,0.0,1244,13,2,0,0,4.0,1
2920,1162828758497275904,0.0,0,0,941677813190615040,2,2940,153,0.0,424,6,1,0,2,4.0,1
2921,1162877800560435200,0.0,0,1,925123080715948032,2,3225,116,0.0,2007,7,1,0,2,5.0,1
2922,1162892886054227968,0.0,0,0,854832530146680832,2,533,79,0.0,262,17,1,0,1,6.0,1
2926,1162926828673282048,0.0,0,1,899983912000204800,2,1850,898,0.0,1398,3,1,0,1,2.0,1
2927,1162949539080351744,0.0,0,1,890830558225465344,2,16406,569,0.0,2824,5,1,0,0,5.0,1
2928,1162953291514482688,0.0,0,3,933727515935494144,2,3176,99,0.0,5405,23,2,0,1,4.0,1
2929,1162964657092669440,0.0,0,1,814381485012746240,2,6068,1167,0.0,1541,5,1,0,1,5.0,1
2930,1162972196203106304,0.0,0,2,830326577632247808,2,124,14,0.0,479,33,2,0,2,5.0,1
2931,1162979760202498048,0.0,0,1,846820483614085120,2,897,351,0.0,4665,13,1,0,1,5.0,1
2932,1162991083665670144,0.0,0,8,874739505617678336,2,4658,1237,0.0,4570,6,1,0,1,4.0,1
2933,1163013716172050432,0.0,0,1,900622125446377472,2,5222,96,0.0,1860,10,2,0,1,4.0,1
2934,1163040146180231168,0.0,0,1,908592153928101888,2,468,181,0.0,394,20,2,0,0,4.0,0
2935,1163040159312601088,0.0,0,2,817305646311817216,2,2081,1233,0.0,4077,5,2,0,1,4.0,1
2936,1163043926107987968,0.0,0,1,887411015259914240,2,13393,218,0.0,5944,5,0,0,1,7.0,1
2938,1163066573151723520,0.0,0,3,908070416341749760,2,9144,270,0.0,2756,9,1,0,1,4.0,1
2940,1163104326027567104,0.0,0,3,815486835338186752,2,3683,101,0.0,492,6,1,0,1,5.0,1
2941,1163153391360663552,0.0,1,1,826337881392369664,2,6635,204,0.0,417,3,1,0,1,6.0,1
2942,1163168487352733696,0.0,0,0,834779830948417536,2,10006,248,0.0,15173,6,0,0,1,5.0,0
2943,1163230183991779328,12.0,195,0,820495090082869248,2,83824,107,12.0,1291,11,1,0,3,5.0,1
2945,1163255197084393472,0.0,0,1,882313119959326720,2,32564,451,0.0,11364,9,1,0,1,4.0,1
2946,1163258993491550208,0.0,0,1,929516302456295424,2,5215,282,0.0,1743,4,1,0,1,5.0,1
2947,1163259079973908480,0.0,0,3,910923330366124032,2,882,194,0.0,593,39,5,0,3,6.0,1
2948,1163270420654710784,0.0,0,3,840271062252281856,2,11643,432,0.0,12408,10,2,0,1,6.0,1
2949,1163315715140665344,0.0,0,1,903628940505489408,2,4377,93,0.0,1214,3,0,0,1,7.0,1
2950,1205524605777203200,0.0,1,0,846859526900977664,2,16850,84,0.0,1564,6,2,0,1,5.0,1
2951,1205928295134617600,1.0,6,0,933738098122547200,2,17987,275,1.0,24062,26,1,0,2,5.0,1
2952,1205966720797675520,0.0,0,1,880526415384465408,2,1191,53,0.0,694,4,1,0,2,5.0,1
2953,1206021713328295936,0.0,0,1,828156618386919424,2,4887,178,0.0,1456,16,1,0,1,5.0,1
2954,1206238779310247936,0.0,0,1,865697390308798464,2,36,20,0.0,795,5,0,0,2,7.0,1
2955,1206283864685060096,0.0,10,0,924951308586700800,2,35339,89,0.0,57274,19,0,0,1,5.0,1
2957,1206580044514168832,0.0,1,1,908355641676369920,2,50829,1144,0.0,11112,2,1,0,1,4.0,1
2958,1206811019290578944,0.0,0,1,909456263121113088,2,43722,55,0.0,21246,9,1,0,2,4.0,1
2959,1206942942335840256,0.0,0,1,897546002470719488,2,504,33,0.0,1433,40,1,0,6,5.0,1
2960,1206943381257097216,0.0,0,1,897546002470719488,2,504,33,0.0,1433,39,1,0,4,5.0,1
2962,1206970637744558080,0.0,0,3,883082732603142144,2,55,12,0.0,21,2,0,0,2,5.0,1
2963,1206995618100584448,0.0,2,0,843827928760799232,2,1977,127,0.0,884,34,2,0,2,5.0,1
2964,1207028400919060480,3.0,6,0,936956291318198272,2,140,45,3.0,414,10,1,0,3,5.0,1
2965,1207031246834020352,0.0,0,2,873564473428238336,2,7329,825,0.0,7567,35,0,0,3,5.0,1
2966,1207039886810894336,0.0,1,0,872247883634020352,2,179,730,0.0,4081,22,5,0,1,5.0,1
2967,1207044292415541248,0.0,0,1,872431182230806528,2,12085,286,0.0,3628,28,2,0,2,5.0,1
2968,1207050592968990720,0.0,5,1,853019424093335552,2,2951,92,0.0,1407,3,1,0,1,6.0,1
2969,1207057273450893312,0.0,8,0,848824044568891392,2,536,352,0.0,883,2,2,0,1,6.0,1
2970,1207067109001486336,0.0,0,0,862413158731984896,2,6,60,0.0,1775,14,4,0,1,5.0,1
2971,1207068094629400576,0.0,2,0,921039149498601472,2,176,71,0.0,44,7,0,0,1,5.0,1
2972,1207073966818496512,0.0,0,1,892743942567063552,2,393,51,0.0,2062,19,2,0,2,6.0,1
2973,1207076219411402752,0.0,0,4,840968763486937088,2,10949,351,0.0,690,23,1,0,1,6.0,1
2974,1207077671672438784,0.0,0,1,878382115494260736,2,3472,344,0.0,2889,21,1,0,2,4.0,1
2975,1207081162730098688,1.0,3,0,933090651247321088,2,86,568,1.0,142,8,1,0,1,4.0,1
2976,1207211230605303808,0.0,0,1,821063786157264896,2,13482,150,0.0,5248,20,0,0,3,5.0,1
2977,1207212342058065920,0.0,0,1,892743942567063552,2,393,51,0.0,2062,12,1,0,1,5.0,1
2978,1207218957050138624,0.0,0,0,849631501050417152,2,73,403,0.0,68,33,4,0,2,6.0,1
2980,1207243843764137984,0.0,0,3,879081967815467008,2,86,12,0.0,79,7,0,0,2,4.0,1
2981,1207249184140808192,0.0,0,0,934336823630983168,2,6407,43,0.0,2028,17,1,0,4,5.0,1
2982,1207256237240389632,0.0,0,0,840968655097724928,2,65284,999,0.0,62861,13,1,0,1,7.0,1
2983,1207260004354527232,0.0,0,0,849320784694824960,2,17943,87,0.0,5987,11,3,0,1,7.0,1
2984,1207262440880267264,0.0,4,0,891758668705824768,2,4463,963,0.0,2471,15,1,1,2,5.0,1
2985,1207268684353421312,0.0,1,0,818544887788371968,2,78510,773,0.0,16478,12,0,0,1,4.0,1
2986,1207271316295958528,0.0,0,1,813289877659877376,2,461,53,0.0,3,4,1,0,1,7.0,1
2987,1207272203357761536,0.0,0,3,865697390308798464,2,36,20,0.0,795,16,1,0,3,4.0,1
2988,1207272365983485952,0.0,0,1,920881360151203840,2,8334,254,0.0,5605,2,1,0,1,4.0,1
2989,1207272662738915328,0.0,0,1,888493821239099392,2,381,187,0.0,49,7,1,0,1,6.0,1
2990,1207273877061148672,0.0,0,1,904083332207665152,2,87,646,0.0,540,8,1,0,2,5.0,1
2993,1207274945828577280,0.0,0,1,870626279124611072,2,2460,207,0.0,2142,6,2,0,0,6.0,1
2994,1207275916847730688,0.0,0,1,871559880645148672,2,86,203,0.0,70,38,1,0,3,6.0,1
2995,1207277866712481792,0.0,0,1,893818421510631424,2,1608,372,0.0,2694,35,2,0,1,6.0,1
2997,1207279368873168896,0.0,1,2,825307875941679104,2,49935,518,0.0,8162,9,1,0,1,4.0,1
2998,1207279864534966272,0.0,1,0,875831008834334720,2,57333,1192,0.0,12534,11,1,0,1,4.0,1
3001,1207282617667768320,0.0,0,0,884933190854615040,2,10160,131,0.0,3911,8,0,0,1,6.0,1
3002,1207282754246844416,0.0,0,1,875827749100847104,2,8217,582,0.0,1023,8,1,0,1,6.0,1
